360097,100 DV-277/480 2B,CONV 100 KVA 14400X7200 277/480 2 BUSHING,GEP01,3TRANOH    ,63,2759.16
360099,25 DV-240/480 2B,CONV 25 KVA 14400X7200 240/480 2 BUSHING,GEP01,3TRANOH    ,63,1099.59
360102,75 DV-240/480 2B,CONV 75 KVA 14400X7200 240/480 2 BUSHING,GEP01,3TRANOH    ,63,2065.19
360103,100 DV-240/480 2B,CONV 100 KVA 14400X7200 240/480 2 BUSHING,ERM02,3TRANOH    ,64,2245.68
360124,CREO502W,POLE WOOD 50FT CL 2 CREOSOTE,209,2MFGCREPOL ,7,13.72
360126,J8200-1,ANCHOR 10IN EXPANDING FOR 1IN ROD,MAC10,3ANCHOR    ,14,93.84
360128,J7517,ROD ANCHOR 5/8 X 7 TWINEYE,MAC10,3ANCHORROD ,21,13.89
360129,J7538,ROD ANCHOR 1 X 8 TWINEYE,MAC10,3ANCHORROD ,14,66.98
360132,AL-336.4-76A,SPLICE COMPRESSION 336.4 19STR AAC FULL TENSION,NAT40,3CONNCOMP  ,14,26.67
360139,8864,BOLT DOUBLE ARMING GALV 5/8 X 14,POW06,3BOLTWSHR  ,84,2.14
360140,8866,BOLT DOUBLE ARMING GALV 5/8 X 16,POW06,3BOLTWSHR  ,95,2.91
360141,8868,BOLT DOUBLE ARMING GALV 5/8 X 18,MAC10,3BOLTWSHR  ,14,5.15
360143,8872,BOLT DOUBLE ARMING GALV 5/8 X 22 J8872,MAC10,3BOLTWSHR  ,56,4.45
360144,8874,BOLT DOUBLE ARMING GALV 5/8 X 24,MAC10,3BOLTWSHR  ,14,5.42
360146,R8812,BOLT MACHINE GALV 5/8 X 12,POW06,3BOLTWSHR  ,65,1.06
360146,8812,BOLT MACHINE GALV 5/8 X 12,ALU01,3BOLTWSHR  ,168,1.85
360147,8814,BOLT MACHINE GALV 5/8 X 14,ALU01,3BOLTWSHR  ,168,1.97
360148,8818,BOLT MACHINE GALV 5/8 X 18,MAC10,3BOLTWSHR  ,112,2.25
360149,8820,BOLT MACHINE GALV 5/8 X 20,MAC10,3BOLTWSHR  ,84,4.09
360150,8816,BOLT MACHINE GALV 5/8 X 16,ALU01,3BOLTWSHR  ,168,1.92
360151,8912,BOLT MACHINE GALV 3/4 X 12,ALU01,3BOLTWSHR  ,168,2.10
360151,R8912,BOLT MACHINE GALV 3/4 X 12,POW06,3BOLTWSHR  ,61,2.01
360152,8914,BOLT MACHINE GALV 3/4 X 14,ALU01,3BOLTWSHR  ,167,3.49
360158,9414,BOLT OVALEYE FORGED GALV 5/8 X 14,MAC10,3BOLTWSHR  ,105,4.09
360159,9416,BOLT OVALEYE FORGED GALV 5/8 X 16,MAC10,3BOLTWSHR  ,266,5.19
360162,2348-1/2,BOLT SINGLE UPSET 5/8 X 14,ALU01,3BOLTWSHR  ,27,6.20
360164,0322,CLEVIS SWINGING FOR SPOOL INSULATOR,POW06,3CLEVIS    ,48,5.74
360165,3MW-24M-LAB NO BOX,BRACKET TRANSFORMER MTG (3) 3 -50KVA WING CLUSTER W/ LIFING EYE & A&B BOLT PACKS,ALU01,3BRACKET   ,140,140.60
360166,12MW-24-AB,BRACKET TRANSFORMER MTG. (3) 3 - 100KVA W/ TYPE A & B BOLT PACKS,ALU01,3BRACKET   ,168,363.13
360169,PDM-4991,GUARD WILDLIFE 100A 25KV CUTOUT GREY 3 BUTTON,PLA03,3WILDLIFE  ,14,17.55
360171,G5,CLAMP GROUND ROD 5/8 10 SOL - #2 STR,GAL04,3CONNMECH  ,30,1.95
360172,70380343,GUARD WILDLIFE 12IN FOR OH BUSHING/ARRESTER SHEDLOCK,CEN10,3WILDLIFE  ,14,8.21
360173,70380340,GUARD WILDLIFE 5-1/2IN FOR OH BUSHING/ARRESTER MINI-SHEDMOUNT,CEN10,3WILDLIFE  ,14,4.57
360174,C1520P,CLAMP HOTLINE BRONZE 8 - 2/0 RUN 8 - 2/0 TAP TIN PLATED,MAC10,3HOTLINE   ,56,12.00
360176,W20-1,CLAMP WEDGE 1/0- #4 ALUM BAIL,THO05,3CONNCOMP  ,53,2.37
360177,7197,CLAMP WEDGE 1/0-4/0,MAC10,3CONNCOMP  ,35,3.14
360178,7195,CLAMP WEDGE 2-6,MAC10,3CONNCOMP  ,56,1.66
360183,CO-OX-8,INHIBITOR OXIDE 8OZ,CMC01,3LUBRICANT ,14,9.08
360184,SWANATE 600LB NRR,4 AWG ACSR 7/1 600LB 30X22X16 NRR (8955FT/600#),CME02,3WIREBAREA ,63,2.89
360185,TULIP 1900LB NRR,336.4 MCM AAC 1900LB 54X32X32  NRR (6015FT),CME02,3WIREBAREA ,231,2.97
360186,ASO-684-1-N,CLAMP DEAD END SHOE #4 - 336.4  ACSR SIDE LOADING,MAC10,3DESHOES   ,21,13.79
360189,WR279,H-TAP 2/0-#1 RUN AND TAP,THO05,3CONNCOMP  ,25,.91
360193,WR159,H-TAP #2-#6 RUN & TAP,THO05,3CONNCOMP  ,14,.50
360202,602121-6,SHOOT ON TAP 795 - 336.4,TYC02,3CONNSHOOT ,49,34.16
360203,WCY56,CONNECTOR WEJTAP 397.5-4/0 TO 397.5-4/0,FCI02,3CONNSHOOT ,18,22.00
360203,602007,SHOOT ON TAP 336.4 - 336.4,TYC02,3CONNSHOOT ,52,15.97
360204,602121-0,NOT A VALID PART NUMBER SEE 602121,TYC02,3CONNSHOOT ,49,29.77
360207,69338-4,SHELL AMPACT CARTRIDGE YELLOW,TYC02,3CONNSHOOT ,97,1.57
360208,1-602121-3,SHOOT ON TAP 795 - #4,TYC02,3CONNSHOOT ,97,37.54
360208,602121-8,SHOOT ON TAP 795-4/0,TYC02,3CONNSHOOT ,49,29.72
360211,602013,SHOOT ON TAP 336.4 - 4,TYC02,3CONNSHOOT ,14,15.36
360211,WCY49,CONNECTOR WEJTAP 336 ACSR - #4 ACSR,FCI02,3CONNSHOOT ,14,14.20
360213,602000,SHOOT ON TAP 336.4 - 2,TYC02,3CONNSHOOT ,14,22.79
360215,BARE CU 6 SOL SD 25LB SPL,6 AWG BARE SD CU SOLID 25LB SPOOL (315FT),SER02,3WIREBAREC ,19,7.74
360222,J647Z,PIN XARM GALV 5/8 X 7 X 1-3/8 NYLON,MAC10,3PINHDWE   ,196,12.32
360224,602001,SHOOT ON TAP 336.4 - 1/0,TYC02,3CONNSHOOT ,14,14.43
360226,CPG27-300A-125-CX,CUTOUT 27KV 300A SOLID BLADE 125 BIL W/ PG CONN & EXT BRKT,ALU01,3CUTOUTPRC ,56,109.87
360229,GDE1107,GRIP DEAD END GUY 3/8 35IN ORANGE,PRE12,3FMDWIRE   ,126,2.99
360232,WPBYN-BOX25,SHELL WEJ TAP CARTRIDGE YELLOW,FCI02,3CONNSHOOT ,15,1.65
360236,5575,PLATE GROUND CU POLE BUTT 7.5 X 7.5,THO05,3GRPLATES  ,14,6.63
360239,C1530AP,CLAMP HOTLINE AL TIN PLATED #6 - 336.4 RUN #6 - 4/0 TAP,MAC10,3HOTLINE   ,63,18.13
360240,70-7YTIE,GUARD GUY HDPE YELLOW 8FT W/ TIE WRAP (750/LIFT),ELE15,3GUYGUARD  ,53,2.80
360242,AHLS-954022-E,STIRRUP BOLTED 336.4 - 954 ACSR W/ 2/0 BAIL 2 BOLT,ARK05,3CONNMECH  ,28,50.65
360246,CSG27-100A-125-CB-8KA,CUTOUT 27KV 100A POLYMER 125 BIL W/ PG CONN & BRKT 8KAIC,ALU01,3CUTOUTPOL ,42,100.73
360249,P56-1GR,INSULATOR PIN J-NECK 56-1 1-3/8 IN (216/PALLET),POW06,3INSULPORC ,69,7.53
360249,56-1,INSULATOR PIN J-NECK 56-1 1-3/8 IN,VIC04,3INSULPORC ,20,12.54
360251,53-2,INSULATOR SPOOL 3IN ANSI 53-2 GRAY,NEW13,3INSULPORC ,90,1.81
360253,31040,FUSE FIT ALL TYPE K 40A,COO02,3FUSE      ,63,5.25
360254,51008,FUSE FIT ALL TYPE T 8A,COO02,3FUSE      ,63,3.71
360255,51010,FUSE FIT ALL TYPE T 10A,COO02,3FUSE      ,63,3.66
360257,51003,FUSE FIT ALL TYPE T 3A,COO02,3FUSE      ,63,3.70
360261,51015,FUSE FIT ALL TYPE T 15A,COO02,3FUSE      ,63,3.74
360262,51020,FUSE FIT ALL TYPE T 20A,COO02,3FUSE      ,63,3.72
360263,51025,FUSE FIT ALL TYPE T 25A,COO02,3FUSE      ,63,4.26
360264,51030,FUSE FIT ALL TYPE T 30A,COO02,3FUSE      ,63,4.11
360265,51040,FUSE FIT ALL TYPE T 40A,COO02,3FUSE      ,63,4.37
360266,51050,FUSE FIT ALL TYPE T 50A,COO02,3FUSE      ,63,4.36
360267,51065,FUSE FIT ALL TYPE T 65A,COO02,3FUSE      ,63,7.18
360268,51080,FUSE FIT ALL TYPE T 80A,COO02,3FUSE      ,63,8.78
360269,51100,FUSE FIT ALL TYPE T 100A,COO02,3FUSE      ,14,7.87
360272,AF176,LOCKWASHER SPRING DOUBLE COIL HDG FOR 1/2" BOLT,ALU01,3BOLTWSHR  ,168,.12
360274,177,LOCKWASHER SPRING DOUBLE COIL HDG FOR 5/8" BOLT,ALU01,3BOLTWSHR  ,168,.22
360280,U7420-RL,SOCKET METER 200A 7T OH NO HUB,MIL07,3SOCKETS   ,372,137.48
360283,1092,EYENUT FORGED OVAL FOR 5/8 BOLT,POW06,3BOLTWSHR  ,28,1.66
360286,J25179Z,PIN POLE TOP OFFSET 1-3/8 (PLASTIC),MAC10,3PINHDWE   ,217,30.25
360290,GH6,GUY ATTACHMENT 3/4IN  MTG BOLT GOAT HEAD 2 BOLT STYLE,ELE05,3BRACKET   ,16,4.39
360294,SHEPERD 3300FT NRR,6 AWG AL DUPLEX ACSR NEU 3300FT 30X18X12 NRR,CME02,3WIREOHSEC ,350,.23
360294,SHEPERD 500FT COIL,6 AWG AL DUPLEX ACSR NEU 500FT COIL,CME02,3WIREOHSEC ,63,.24
360295,APPALOOSA 1100FT NRR,4/0 AWG AL QUAD ACSR NEU 1100FT 50X32X24 NRR,CME02,3WIREOHSEC ,350,2.96
360296,ZUZARA 1000FT NRR,4/0 AWG AL TRIPLEX ACSR NEU 1000FT 42FX25WX14T NRR,CME02,3WIREOHSEC ,350,2.17
360298,ATS1020,SPLICE AUTO 1/0 - 2/0,THO05,3CONNAUTO  ,47,15.26
360300,GL402A,SPLICE AUTO #4 ACSR,ARK05,3CONNAUTO  ,14,8.88
