360068,112.5 DV-208/120 3PH PAD,PAD 112.5 KVA 14400X7200 208/120 3PH W/ TAPS +/- 2.5%,GEP01,3TRANURD3P ,63,8358.02,1
360070,225 DV-208/120 3PH PAD,PAD 225 KVA 14400X7200 208/120 3PH W/ TAPS +/- 5%,GEP01,3TRANURD3P ,63,11099.07,1
360071,300 DV-208/120 3PH PAD,PAD 300 KVA 14400X7200 208/120 3PH,ERM02,3TRANURD3P ,228,14511.36,1
360072,500 DV-208/120 3PH PAD,PAD 500 KVA 14400X7200 208/120 3PH W/ TAPS 2 @ +/- 2.5%,ERM02,3TRANURD3P ,224,21414.86,1
360073,750 DV-208/120 3PH PAD,PAD 750 KVA 14400X7200 208/120 3PH,GEP01,3TRANURD3P ,63,33866.26,1
360074,1000 DV-208/120 3PH PAD,PAD 1000 KVA 14400X7200 208/120 3PH W/ TAPS,GEP01,3TRANURD3P ,63,44551.44,1
360075,1500 DV-208/120 3PH PAD,PAD 1500 KVA 14400X7200 208/120 3PH,GEP01,3TRANURD3P ,63,60589.29,1
360076,75 DV-480/277 3PH PAD,PAD 75 KVA 14400X7200 480/277 3PH,ERM02,3TRANURD3P ,224,11371.60,1
360077,112.5 DV-480/277 3PH PAD,PAD 112.5 KVA 14400X7200 480/277 3PH W/ TAPS +/- 2.5%,ERM02,3TRANURD3P ,224,8597.53,1
360078,150 DV-480/277 3PH PAD,PAD 150 KVA 14400X7200 480/277 3PH,ERM02,3TRANURD3P ,229,11751.23,1
360079,225 DV-480/277 3PH PAD,PAD 225 KVA 14400X7200 480/277 3PH W/ TAPS 2 @ +/- 2.5%,GEP01,3TRANURD3P ,63,11046.88,1
360080,300 DV-480/277 3PH PAD,PAD 300 KVA 14400X7200 480/277 3PH,ERM02,3TRANURD3P ,229,14303.66,1
360081,500 DV-480/277 3PH PAD,PAD 500 KVA 14400X7200 480/277 3PH,ERM02,3TRANURD3P ,224,20075.97,1
360082,750 DV-480/277 3PH PAD,PAD 750 KVA 14400X7200 480/277 3PH,ERM02,3TRANURD3P ,224,26269.94,1
360084,1500 DV-480/277 3PH PAD,PAD 1500 KVA 14400X7200 480/277 3PH W/ TAPS +/-  5%,ERM02,3TRANURD3P ,224,36741.81,1
360085,2000 DV-480/277 3PH PAD,PAD 2000 KVA 14400X7200 480/277 3PH W/ TAPS +/- 2.5%,GEP01,3TRANURD3P ,63,72045.68,1
360086,2500 DV-480/277 3PH PAD,PAD 2500 KVA 14400X7200 480/277 3PH W/ TAPS +/- 5%,ERM02,3TRANURD3P ,224,51946.91,1
360087,25 DV-120/240 2B ARR IFD PEC,CONV 25 KVA 14400X7200 120/240 2 BUSHING  W/ARR W/IFD PEC SPEC,GEP01,3TRANOH    ,63,1581.48,1
360088,37.5 DV-120/240 2B,CONV 37.5 KVA 14400X7200 120/240 2 BUSHING,GEP01,3TRANOH    ,63,1576.25,1
360089,50 DV-120/240 2B ARR TAPS SPD,CONV 50 KVA 14400X7200 120/240 2 BUSHING W/ ARRESTER TAPS SPADES,GEP01,3TRANOH    ,63,2667.49,1
360090,75 DV-120/240 2B ARR,CONV 75 KVA 14400X7200 120/240 2 BUSHING W/ 18KV ARRESTER,GEP01,3TRANOH    ,63,2581.47,1
360091,100 DV-120/240 2B SPD,CONV 100 KVA 14400X7200 120/240 2 BUSHING W/ 4H SPADES,GEP01,3TRANOH    ,63,3220.95,1
360092,167 DV-120/240 2B TAPS SPD,CONV 167 KVA 14400X7200 120/240 2 BUSHING W/ 4H SPADES,ERM02,3TRANOH    ,70,4469.98,1
360093,25 DV-277/480 2B,CONV 25 KVA 14400X7200 277/480 2 BUSHING,GEP01,3TRANOH    ,63,1389.32,1
360094,37.5 DV-277/480 2B,CONV 37.5 KVA 14400X7200 277/480 2 BUSHING,GEP01,3TRANOH    ,63,1382.47,1
360095,50 DV-277/480 2B TAPS,CONV 50 KVA 14400X7200 277/480 2 BUSHING W/TAPS,ERM02,3TRANOH    ,290,2223.46,1
360096,75 DV-277/480 2B ARR SPD,CONV 75 KVA 14400X7200 277/480 2 BUSHING W/ 18KV ARRESTER & 4H SPADES,GEP01,3TRANOH-A  ,63,2277.95,1
360097,100 DV-277/480 2B,CONV 100 KVA 14400X7200 277/480 2 BUSHING,GEP01,3TRANOH    ,63,3687.65,1
360099,25 DV-240/480 2B ARR TAPS SPD,CONV 25 KVA 14400X7200 240/480 2 BUSHING W/ ARRESTER TAPS SPADES,GEP01,3TRANOH    ,63,1978.52,1
360100,EZC6500SLC,CONNECTOR TRANSFORMER SEC 6 PORT #6-500MCM 5/8 OR 1 STUD ST LIGHT INHIBITOR W/ CLEAR BOOT,THO05,3CONNURDSE ,20,27.80,1
360101,CSW6500-58SLC,CONNECTOR TRANSFORMER SEC 6 PORT #2-500MCM 5/8 STUD ST LIGHT  INHI W/ CLR CVR,THO05,3CONNURDSE ,7,22.41,1
360102,75 DV-240/480 2B,CONV 75 KVA 14400X7200 240/480 2 BUSHING,GEP01,3TRANOH    ,63,2065.19,1
360103,100 DV-240/480 2B TAPS SPD,CONV 100 KVA 14400X7200 240/480 2 BUSHING W/ TAPS SPADES,GEP01,3TRANOH    ,63,2852.75,1
360104,6170000-21 STAMPED COG,SEAL METER PLASTIC MAROON STAMPED CITY OF GEORGETOWN SEQ NUMBERED,BRO20,3SEALS     ,120,.00,1
360105,6170000-1 STAMPED COG,SEAL METER PLASTIC RED STAMPED CITY OF GEORGETOWN SEQ NUMBERED,BRO20,3SEALS     ,120,.10,1
360106,6170000-4 STAMPED COG,SEAL METER PLASTIC ORANGE STAMPED CITY OF GEORGETOWN SEQ NUMBERED,BRO20,3SEALS     ,120,.00,1
360107,6170000-5 STAMPED COG,SEAL METER PLASTIC GRAY STAMPED CITY OF GEORGETOWN SEQ NUMBERED,BRO20,3SEALS     ,120,.00,1
360109,215FT,FEED THRU STAND OFF 15KV,ELE05,3MLDRUBBER ,14,117.79,1
360110,PS2355,BRACKET SECONDARY RACK EXTENSION  6IN,CIT05,3BRACKET   ,1,12.48,1
360111,RS900G-24-D-2SC25-XX,SWITCH ETHERNET 10 PORT RUGGEDCOM 24V,SIE02,3RELAYCTRL ,200,.00,1
360113,CEP130M1,CAPACITOR 200KVAR 14400V 2 BUSH 125KV BIL,ARK05,3CAPACITOR ,14,920.04,1
360120,7470801-27,SEAL METER CLEAR RED INSERT TOOL-LESS 8IN WIRE NUMBERED NO STAMPING,EJB02,3SEALS     ,7,.28,1
360122,CREO452W,POLE WOOD 45FT CL 2 CREOSOTE,500,2MFGCREPOL ,5,506.39,1
360124,CREO502W,POLE WOOD 50FT CL 2 CREOSOTE,209,2MFGCREPOL ,7,612.06,1
360125,88135,ANCHOR 8IN EXPANDING FOR 5/8-3/4IN ROD,ARK05,3ANCHOR    ,21,14.61,1
360126,J8200-1,ANCHOR 10IN EXPANDING FOR 1IN ROD,MAC10,3ANCHOR    ,14,107.61,1
360127,108234,ANCHOR 10" EXPANDING FOR 3/4,ARK05,3ANCHOR    ,7,65.96,1
360128,J7517,ROD ANCHOR 5/8 X 7 TWINEYE,MAC10,3ANCHORROD ,21,13.89,1
360129,J7538,ROD ANCHOR 1 X 8 TWINEYE,MAC10,3ANCHORROD ,14,70.93,1
360130,5307,ROD ANCHOR 1/2 X 7 THIMBLEYE,ARK05,3ANCHORROD ,60,12.33,1
360131,5358,ROD ANCHOR 3/4 X 8 TWINEYE,ARK05,3ANCHORROD ,56,32.60,1
360132,AL-336.4-76A,SPLICE COMPRESSION 336.4 19STR AAC FULL TENSION,NAT40,3CONNCOMP  ,14,26.67,1
360133,213709-7323,ARRESTER 10KV POLYMER XARM MOUNT W/STRAP W/ CAP,TEC05,3ARRESTDIS ,14,52.41,1
360134,8876,BOLT DOUBLE ARMING GALV 5/8 X 26 J8876,MAC10,3BOLTWSHR  ,14,6.45,1
360135,8635,BOLT CARRIAGE 3/8 X 5,POW06,3BOLTWSHR  ,20,.57,1
360136,8646,BOLT CARRIAGE 1/2 X 6,POW06,3BOLTWSHR  ,98,1.08,1
360139,8864,BOLT DOUBLE ARMING GALV 5/8 X 14,POW06,3BOLTWSHR  ,71,2.11,1
360140,8866,BOLT DOUBLE ARMING GALV 5/8 X 16,POW06,3BOLTWSHR  ,95,2.98,1
360141,8868,BOLT DOUBLE ARMING GALV 5/8 X 18,MAC10,3BOLTWSHR  ,14,5.02,1
360142,8870,BOLT DOUBLE ARMING GALV 5/8 X 20,MAC10,3BOLTWSHR  ,14,4.32,1
360143,8872,BOLT DOUBLE ARMING GALV 5/8 X 22 J8872,MAC10,3BOLTWSHR  ,56,5.24,1
360144,8874,BOLT DOUBLE ARMING GALV 5/8 X 24,MAC10,3BOLTWSHR  ,14,6.41,1
360145,8810,BOLT MACHINE GALV 5/8 X 10,MAC10,3BOLTWSHR  ,84,1.59,1
360146,8812,BOLT MACHINE GALV 5/8 X 12,ALU01,3BOLTWSHR  ,168,1.96,1
