360096,75 DV-277/480 2B,CONV 75 KVA 14400X7200 277/480 2 BUSHING,ERM02,3TRANOH    ,107,2064.47
360096,75 DV-277/480 2B ARR SPD,CONV 75 KVA 14400X7200 277/480 2 BUSHING W/ 18KV ARRESTER & 4H SPADES,GEP01,3TRANOH-A  ,63,1683.77
360096,75 DV-277/480 2B SPD-ZU11407,75 14400X7200 277/480 2 BUSHING W/ SPADE,CIT05,3TRANOH    ,365,.00
360100,CSW6500SLC,CONNECTOR TRAN STUD 1"STUD 6-OUT #6-500MCM W/BOOT,THO05,3CONNURDSE ,7,24.28
360102,75 DV-240/480 2B,CONV 75 KVA 14400X7200 240/480 2 BUSHING,GEP01,3TRANOH    ,63,2065.19
360102,75 DV-240/480 2B TAPS SPD,CONV 75 KVA 14400X7200 240/480 2 BUSHING W/ TAPS SPADES,GEP01,3TRANOH    ,63,.00
360104,6170000-21 STAMPED COG,SEAL METER PLASTIC MAROON STAMPED CITY OF GEORGETOWN SEQ NUMBERED,BRO20,3SEALS     ,120,.00
360104,6170000-21 STAMPED COG-ZN11407,SEAL METER PLASTIC MAROON STAMPED CITY OF GEORGETOWN SEQ NUMBERED,BRO20,3SEALS     ,120,.00
360105,6170000-1 STAMPED COG,SEAL METER PLASTIC RED STAMPED CITY OF GEORGETOWN SEQ NUMBERED,BRO20,3SEALS     ,120,.10
360105,6170000-1 STAMPED COG-ZN 11407,SEAL METER PLASTIC RED STAMPED CITY OF GEORGETOWN SEQ NUMBERED,BRO20,3SEALS     ,120,.00
360106,6170000-4 STAMPED COG,SEAL METER PLASTIC ORANGE STAMPED CITY OF GEORGETOWN SEQ NUMBERED,BRO20,3SEALS     ,120,.00
360106,6170000-4 STAMPED COG-ZN 11407,SEAL METER PLASTIC ORANGE STAMPED CITY OF GEORGETOWN SEQ NUMBERED,BRO20,3SEALS     ,120,.00
360109,215FT,FEED THRU STAND OFF 15KV,ELE05,3MLDRUBBER ,14,117.41
360111,RS900G-24-D-2SC25-XX,SWITCH ETHERNET 10 PORT RUGGEDCOM 24V,SIE02,3RELAYCTRL ,200,.00
360111,RS900G-24-D-2SC25-XX-ZN11407,SWITCH ETHERNET 10 PORT RUGGEDCOM 24V,SIE02,3RELAYCTRL ,200,.00
360113,2GUA144200G250,CAPACITOR 200KVAR 14400V 2 BUSH 125KV BIL,ABB07,3CAPACITOR ,92,602.94
360113,58L114WC60,CAPACITOR 200KVAR 14400V 2 BUSH 125KV BIL,GEG02,3CAPACITOR ,42,565.43
360113,CEP130M1,CAPACITOR 200KVAR 14400V 2 BUSH 125KV BIL,ARK05,3CAPACITOR ,14,920.04
360120,7470801-27-ZN11407,SEAL METER CLEAR RED INSERT TOOL-LESS 8IN WIRE NUMBERED NO STAMPING,FCI02,3SEALS     ,60,.00
360122,CREO452W,POLE WOOD 45FT CL 2 CREOSOTE,500,2MFGCREPOL ,5,15.35
360124,CREO502W,POLE WOOD 50FT CL 2 CREOSOTE,209,2MFGCREPOL ,7,14.09
360128,5348,ROD ANCHOR 5/8 X 8 TWINEYE,ARK05,3ANCHORROD ,60,.00
360131,5358,ROD ANCHOR 3/4 X 8 TWINEYE,ARK05,3ANCHORROD ,56,32.71
360134,8876,BOLT DOUBLE ARMING GALV 5/8 X 26 J8876,MAC10,3BOLTWSHR  ,14,6.45
360139,8864,BOLT DOUBLE ARMING GALV 5/8 X 14,POW06,3BOLTWSHR  ,84,2.11
360141,8868,BOLT DOUBLE ARMING GALV 5/8 X 18,MAC10,3BOLTWSHR  ,14,5.02
360142,8870,BOLT DOUBLE ARMING GALV 5/8 X 20,MAC10,3BOLTWSHR  ,14,3.75
360143,8872,BOLT DOUBLE ARMING GALV 5/8 X 22 J8872,MAC10,3BOLTWSHR  ,56,4.84
360145,8810,BOLT MACHINE GALV 5/8 X 10,MAC10,3BOLTWSHR  ,147,1.49
360146,8812,BOLT MACHINE GALV 5/8 X 12,ALU01,3BOLTWSHR  ,168,1.90
360149,8820,BOLT MACHINE GALV 5/8 X 20,MAC10,3BOLTWSHR  ,84,4.15
360150,8816,BOLT MACHINE GALV 5/8 X 16,ALU01,3BOLTWSHR  ,168,2.10
360151,8912,BOLT MACHINE GALV 3/4 X 12,ALU01,3BOLTWSHR  ,117,3.15
360152,8914,BOLT MACHINE GALV 3/4 X 14,ALU01,3BOLTWSHR  ,108,3.74
360156,9424,BOLT OVALEYE FORGED GALV 5/8 X 24,MAC10,3BOLTWSHR  ,7,4.90
360158,9414,BOLT OVALEYE FORGED GALV 5/8 X 14,MAC10,3BOLTWSHR  ,73,4.36
360162,2348-1/2,BOLT SINGLE UPSET 5/8 X 14,ALU01,3BOLTWSHR  ,168,6.20
360164,0322,CLEVIS SWINGING FOR SPOOL INSULATOR,POW06,3CLEVIS    ,55,5.30
360164,AF1300,CLEVIS FIXED FOR SPOOL INSULATOR,ALU01,3CLEVIS    ,168,5.95
360165,C6M36,BRACKET TRANSFORMER MTG (3) 3 -50KVA 6" FROM POLE,209,3BRACKET   ,7,179.88
360166,12MW-24-AB,BRACKET TRANSFORMER MTG. (3) 3 - 100KVA W/ TYPE A & B BOLT PACKS,ALU01,3BRACKET   ,68,363.12
360166,C15M36,BRACKET TRANSFORMER MTG DOUBLE MOUNT,209,3BRACKET   ,7,342.41
360168,CA2200,BREAKER CIRCUIT 200A 2 POLE 240 VAC (CUTLER-HAMMER),CIT05,3SOCKETS   ,1,467.64
360176,W20-1,CLAMP WEDGE 1/0- #4 ALUM BAIL,THO05,3CONNCOMP  ,68,2.84
360177,7197,CLAMP WEDGE 1/0-4/0,MAC10,3CONNCOMP  ,35,3.14
360177,W401,CLAMP WEDGE 2/0-4/0 ALUM BAIL,THO05,3CONNCOMP  ,14,2.97
360184,SWANATE 600LB NRR,4 AWG ACSR 7/1 600LB 30X22X16 NRR (8955FT/600#),CME02,3WIREBAREA ,343,3.14
360186,ASO-684-1-N,CLAMP DEAD END SHOE #4 - 336.4  ACSR SIDE LOADING,MAC10,3DESHOES   ,21,13.79
360186,ASOD6841N,CLAMP DEAD END SHOE #4 - 336.4 ACSR SIDE LOADING,ARK05,3DESHOES   ,42,11.42
360188,WR189,H-TAP #3-1/0 RUN #6-#2 TAP,THO05,3CONNCOMP  ,25,.64
360190,WR399,H-TAP 3/0-4/0 RUN #1-2/0 TAP,THO05,3CONNCOMP  ,31,1.07
360191,WR419,H-TAP 3/0-4/0 RUN AND TAP,THO05,3CONNCOMP  ,25,.96
360192,WR379,H-TAP 3/0-4/0 RUN #6-#2 TAP,THO05,3CONNCOMP  ,25,.76
360193,WR159,H-TAP #2-#6 RUN & TAP,THO05,3CONNCOMP  ,14,.50
360194,WR-835,H-TAP 4/0-477 RUN 1/0-4/0 TAP,THO05,3CONNCOMP  ,27,4.36
360195,WR775,H-TAP 4/0-397 RUN AND TAP,THO05,3CONNCOMP  ,14,5.48
360196,WR815,H-TAP 4/0-477  RUN #6-2/0 TAP,THO05,3CONNCOMP  ,14,4.09
360198,WR989,H-TAP 795-795 ULTIMATE RANGE,THO05,3CONNCOMP  ,6,34.99
